,DateTime,ResolutionCode,AreaCode,AreaTypeCode,AreaName,MapCode,ProductionType,ActualGenerationOutput,ActualConsumption,UpdateTime
19,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Fossil Hard coal,0.0,,2018-01-18 10:48:32
20,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Hydro Pumped Storage,0.0,,2018-01-18 10:48:32
21,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Fossil Oil,0.0,,2018-01-18 10:48:32
22,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Fossil Hard coal,0.0,,2018-01-18 10:48:32
23,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Hydro Run-of-river and poundage,0.0,,2018-01-18 10:48:33
24,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Hydro Water Reservoir,0.0,,2018-01-18 10:48:33
25,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Waste,0.0,,2018-01-18 10:48:33
26,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Hydro Run-of-river and poundage,0.0,,2018-01-18 10:48:33
27,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Wind Onshore,0.0,,2018-01-18 10:48:33
28,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Fossil Oil,0.0,,2018-01-18 10:48:33
29,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Nuclear,0.0,,2018-01-18 10:48:34
30,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Wind Onshore,0.0,,2018-01-18 10:48:34
31,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Hydro Pumped Storage,0.0,,2018-01-18 10:48:34
32,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Fossil Gas,0.0,,2018-01-18 10:48:34
33,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Hydro Water Reservoir,0.0,,2018-01-18 10:48:34
34,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Waste,0.0,,2018-01-18 10:48:34
35,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Nuclear,0.0,,2018-01-18 10:48:35
36,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,CTY,FR CTY,FR,Solar,0.0,,2018-05-09 15:17:27
37,2018-01-18 06:00:00.000,PT60M,10YFR-RTE------C,BZN,FR BZN,FR,Solar,0.0,,2018-05-09 15:17:27
38,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Nuclear,0.0,,2018-12-11 10:18:59
39,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Hydro Pumped Storage,0.0,0.0,2018-12-11 10:19:00
40,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Fossil Gas,0.0,,2018-12-11 10:18:58
41,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Fossil Brown coal/Lignite,0.0,,2018-12-19 13:16:35
42,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Solar,0.0,,2018-12-11 10:18:59
43,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Fossil Brown coal/Lignite,0.0,,2018-01-18 10:48:47
44,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Fossil Gas,0.0,,2018-01-18 10:48:47
45,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A83F,CTY,DE CTY,DE,Fossil Brown coal/Lignite,0.0,,2020-05-05 16:21:37
46,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Hydro Run-of-river and poundage,0.0,,2018-01-18 10:48:49
47,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Solar,0.0,,2018-01-18 10:48:49
48,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Wind Offshore,0.0,,2018-01-18 10:48:50
49,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Wind Onshore,0.0,,2018-01-18 10:48:51
50,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Waste,0.0,,2019-02-15 19:18:42
51,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Geothermal,0.0,,2018-01-18 10:48:52
52,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Fossil Oil,0.0,,2018-01-18 10:48:52
53,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Other,0.0,,2018-01-18 10:48:53
54,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A83F,CTY,DE CTY,DE,Hydro Run-of-river and poundage,0.0,,2021-02-27 22:48:52
55,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Hydro Pumped Storage,0.0,1.93,2021-12-09 10:43:07
56,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Fossil Hard coal,0.0,,2018-01-18 10:48:55
57,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Biomass,0.0,,2018-01-18 10:48:55
58,2018-01-18 09:15:00.000,PT15M,10YDE-VE-------2,CTA,DE(50Hertz) CTA,DE_50HzT,Other renewable,0.0,,2019-02-15 19:19:59
59,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A63L,BZN,DE-AT-LU BZN,DE_AT_LU,Fossil Brown coal/Lignite,0.0,,2020-05-05 16:47:43
60,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A83F,CTY,DE CTY,DE,Wind Onshore,0.0,,2021-02-28 09:40:23
61,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A83F,CTY,DE CTY,DE,Geothermal,0.0,,2021-02-09 16:27:54
62,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A83F,CTY,DE CTY,DE,Other,0.0,,2018-12-11 15:18:56
63,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A83F,CTY,DE CTY,DE,Fossil Hard coal,0.0,,2021-02-27 15:48:30
64,2018-01-18 08:00:00.000,PT60M,10YBE----------2,CTA,BE CTA,BE,Wind Offshore,0.0,,2020-02-13 11:38:27
65,2018-01-18 08:00:00.000,PT60M,10YBE----------2,CTY,BE CTY,BE,Wind Offshore,0.0,,2019-12-24 16:51:10
66,2018-01-18 08:00:00.000,PT60M,10YBE----------2,BZN,BE BZN,BE,Wind Offshore,0.0,,2019-12-24 16:51:09
67,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Wind Onshore,0.0,,2018-12-11 10:18:59
68,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Fossil Hard coal,0.0,,2018-12-11 10:18:59
69,2018-01-18 08:00:00.000,PT60M,10YDK-1--------W,BZN,DK1 BZN,DK1,Fossil Oil,0.0,,2018-08-17 08:16:09
70,2018-01-18 08:00:00.000,PT60M,10YDK-1--------W,BZN,DK1 BZN,DK1,Fossil Gas,0.0,,2018-08-17 08:16:10
71,2018-01-18 08:00:00.000,PT60M,10YDK-2--------M,BZN,DK2 BZN,DK2,Fossil Oil,0.0,,2018-08-17 08:16:07
72,2018-01-18 08:00:00.000,PT60M,10YDK-1--------W,BZN,DK1 BZN,DK1,Other renewable,0.0,,2018-08-17 08:16:10
73,2018-01-18 08:00:00.000,PT60M,10YDK-1--------W,BZN,DK1 BZN,DK1,Waste,0.0,,2018-08-17 08:16:13
74,2018-01-18 08:00:00.000,PT60M,10YDK-2--------M,BZN,DK2 BZN,DK2,Waste,0.0,,2018-08-17 08:16:10
75,2018-01-18 08:00:00.000,PT60M,10YDK-1--------W,BZN,DK1 BZN,DK1,Biomass,0.0,,2018-08-17 08:16:09
76,2018-01-18 08:00:00.000,PT60M,10YDK-2--------M,BZN,DK2 BZN,DK2,Fossil Gas,0.0,,2018-08-17 08:16:07
77,2018-01-18 08:00:00.000,PT60M,10YDK-1--------W,BZN,DK1 BZN,DK1,Hydro Run-of-river and poundage,0.0,,2018-08-17 08:16:10
78,2018-01-18 08:00:00.000,PT60M,10YDK-2--------M,BZN,DK2 BZN,DK2,Fossil Hard coal,0.0,,2018-08-17 08:16:08
79,2018-01-18 08:00:00.000,PT60M,10YDK-1--------W,BZN,DK1 BZN,DK1,Fossil Hard coal,0.0,,2018-08-17 08:16:10
80,2018-01-18 08:00:00.000,PT60M,10YDK-2--------M,BZN,DK2 BZN,DK2,Biomass,0.0,,2018-08-17 08:16:07
81,2018-01-18 08:00:00.000,PT60M,10YBE----------2,CTA,BE CTA,BE,Wind Onshore,0.0,,2018-11-08 14:31:11
82,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A63L,BZN,DE-AT-LU BZN,DE_AT_LU,Wind Onshore,0.0,0.0,2018-02-28 03:52:45
83,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A796,CTA,DK CTA,DK,Fossil Gas,0.0,,2018-08-17 08:17:16
84,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A65H,CTY,DK CTY,DK,Fossil Gas,0.0,,2018-08-17 08:17:37
85,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A65H,CTY,DK CTY,DK,Fossil Oil,0.0,,2018-08-17 08:16:34
86,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A65H,CTY,DK CTY,DK,Biomass,0.0,,2018-08-17 08:16:27
87,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A65H,CTY,DK CTY,DK,Waste,0.0,,2018-08-17 08:16:32
88,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A796,CTA,DK CTA,DK,Fossil Oil,0.0,,2018-08-17 08:16:29
89,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A796,CTA,DK CTA,DK,Waste,0.0,,2018-08-17 08:16:47
90,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A796,CTA,DK CTA,DK,Biomass,0.0,,2018-08-17 08:16:26
91,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A65H,CTY,DK CTY,DK,Fossil Hard coal,0.0,,2018-08-17 08:17:54
92,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A796,CTA,DK CTA,DK,Fossil Hard coal,0.0,,2018-08-17 08:16:07
93,2018-01-18 08:00:00.000,PT60M,10YBE----------2,CTY,BE CTY,BE,Wind Onshore,0.0,,2018-11-08 14:30:58
94,2018-01-18 08:00:00.000,PT60M,10YBE----------2,BZN,BE BZN,BE,Wind Onshore,0.0,,2018-11-08 14:30:58
95,2018-01-18 08:00:00.000,PT60M,10YGR-HTSO-----Y,CTA,GR CTA,GR,Wind Onshore,0.0,,2018-01-18 10:49:15
96,2018-01-18 08:00:00.000,PT60M,10YGR-HTSO-----Y,CTA,GR CTA,GR,Solar,0.0,,2018-02-05 13:25:07
97,2018-01-18 09:00:00.000,PT60M,10YBE----------2,CTA,BE CTA,BE,Other,0.0,,2018-02-16 11:32:31
98,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,CTA,GR CTA,GR,Hydro Water Reservoir,0.0,,2018-01-18 10:49:16
99,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,CTA,GR CTA,GR,Hydro Pumped Storage,0.0,,2018-01-18 10:49:16
100,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,CTA,GR CTA,GR,Fossil Brown coal/Lignite,0.0,,2018-01-18 10:49:16
101,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,CTA,GR CTA,GR,Fossil Oil,0.0,,2018-01-18 10:49:16
102,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,CTA,GR CTA,GR,Fossil Gas,0.0,,2018-01-18 10:49:17
103,2018-01-18 08:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,GR BZN,GR,Solar,0.0,,2018-02-05 13:27:16
104,2018-01-18 08:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,GR BZN,GR,Wind Onshore,0.0,,2018-01-18 10:49:17
105,2018-01-18 08:00:00.000,PT60M,10YGR-HTSO-----Y,CTY,GR CTY,GR,Wind Onshore,0.0,,2018-01-18 10:49:17
106,2018-01-18 08:00:00.000,PT60M,10YGR-HTSO-----Y,CTY,GR CTY,GR,Solar,0.0,,2018-02-05 13:27:17
107,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Geothermal,0.0,,2018-12-11 15:18:53
108,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Other,0.0,,2018-12-11 15:18:52
109,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,GR BZN,GR,Fossil Brown coal/Lignite,0.0,,2018-01-18 10:49:20
110,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Hydro Run-of-river and poundage,0.0,,2018-12-11 15:18:53
111,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,CTY,GR CTY,GR,Fossil Brown coal/Lignite,0.0,,2018-01-18 10:49:21
112,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,GR BZN,GR,Hydro Pumped Storage,0.0,,2018-01-18 10:49:21
113,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,CTY,GR CTY,GR,Fossil Oil,0.0,,2018-01-18 10:49:21
114,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,GR BZN,GR,Fossil Gas,0.0,,2018-01-18 10:49:21
115,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,GR BZN,GR,Hydro Water Reservoir,0.0,,2018-01-18 10:49:21
116,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,BZN,GR BZN,GR,Fossil Oil,0.0,,2018-01-18 10:49:21
117,2018-01-18 06:00:00.000,PT60M,10YGR-HTSO-----Y,CTY,GR CTY,GR,Fossil Gas,0.0,,2018-01-18 10:49:21
118,2018-01-18 09:00:00.000,PT60M,10YBE----------2,CTY,BE CTY,BE,Other,0.0,,2018-02-16 11:33:29
119,2018-01-18 09:00:00.000,PT60M,10YBE----------2,BZN,BE BZN,BE,Other,0.0,,2018-02-16 11:33:32
120,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTA,HU CTA,HU,Wind Onshore,0.0,,2018-01-18 10:49:26
121,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,BZN,HU BZN,HU,Wind Onshore,0.0,,2018-01-18 10:49:30
122,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTY,HU CTY,HU,Wind Onshore,0.0,,2018-01-18 10:49:30
123,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTA,HU CTA,HU,Waste,0.0,,2018-01-18 10:49:35
124,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTA,HU CTA,HU,Hydro Run-of-river and poundage,0.0,,2018-01-18 10:49:36
125,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTA,HU CTA,HU,Biomass,0.0,,2018-01-18 10:49:36
126,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTA,HU CTA,HU,Other,0.0,,2018-01-18 10:49:36
127,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTA,HU CTA,HU,Fossil Gas,0.0,,2018-01-18 10:49:36
128,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTA,HU CTA,HU,Fossil Oil,0.0,0.28,2018-01-18 10:49:37
129,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTA,HU CTA,HU,Hydro Water Reservoir,0.0,,2018-01-18 10:49:37
130,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTA,HU CTA,HU,Other renewable,0.0,,2018-01-18 10:49:38
131,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTA,HU CTA,HU,Nuclear,0.0,,2018-01-18 10:49:38
132,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTA,HU CTA,HU,Fossil Brown coal/Lignite,0.0,,2018-01-18 10:49:38
133,2018-01-18 09:00:00.000,PT60M,10YBE----------2,CTA,BE CTA,BE,Solar,0.0,,2018-03-01 11:04:07
134,2018-01-18 09:00:00.000,PT60M,10YBE----------2,CTY,BE CTY,BE,Solar,0.0,,2018-01-18 12:49:22
135,2018-01-18 09:00:00.000,PT60M,10YBE----------2,BZN,BE BZN,BE,Solar,0.0,,2018-01-18 12:49:22
136,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,BZN,HU BZN,HU,Nuclear,0.0,,2018-01-18 10:49:39
137,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTY,HU CTY,HU,Nuclear,0.0,,2018-01-18 10:49:40
138,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,BZN,HU BZN,HU,Biomass,0.0,,2018-01-18 10:49:40
139,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,BZN,HU BZN,HU,Waste,0.0,,2018-01-18 10:49:40
140,2018-01-18 08:00:00.000,PT60M,10YDK-2--------M,BZN,DK2 BZN,DK2,Solar,0.0,,2018-01-18 10:49:41
141,2018-01-18 08:00:00.000,PT60M,10YDK-2--------M,BZN,DK2 BZN,DK2,Wind Offshore,0.0,,2018-02-01 22:44:25
142,2018-01-18 08:00:00.000,PT60M,10YDK-1--------W,BZN,DK1 BZN,DK1,Solar,0.0,,2018-01-18 10:49:41
143,2018-01-18 08:00:00.000,PT60M,10YDK-1--------W,BZN,DK1 BZN,DK1,Wind Onshore,0.0,,2018-02-01 22:44:38
144,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTY,HU CTY,HU,Biomass,0.0,,2018-01-18 10:49:42
145,2018-01-18 08:00:00.000,PT60M,10YDK-1--------W,BZN,DK1 BZN,DK1,Wind Offshore,0.0,,2018-02-01 22:44:38
146,2018-01-18 08:00:00.000,PT60M,10YDK-2--------M,BZN,DK2 BZN,DK2,Wind Onshore,0.0,,2018-02-01 22:44:26
147,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTY,HU CTY,HU,Waste,0.0,,2018-01-18 10:49:42
148,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,BZN,HU BZN,HU,Fossil Oil,0.0,0.28,2018-01-18 10:49:43
149,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTY,HU CTY,HU,Fossil Oil,0.0,0.28,2018-01-18 10:49:43
150,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTY,HU CTY,HU,Hydro Run-of-river and poundage,0.0,,2018-01-18 10:49:44
151,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,BZN,HU BZN,HU,Hydro Run-of-river and poundage,0.0,,2018-01-18 10:49:44
152,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTY,HU CTY,HU,Hydro Water Reservoir,0.0,,2018-01-18 10:49:45
153,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTY,HU CTY,HU,Fossil Brown coal/Lignite,0.0,,2018-01-18 10:49:45
154,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,BZN,HU BZN,HU,Other,0.0,,2018-01-18 10:49:45
155,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,BZN,HU BZN,HU,Hydro Water Reservoir,0.0,,2018-01-18 10:49:46
156,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,BZN,HU BZN,HU,Fossil Brown coal/Lignite,0.0,,2018-01-18 10:49:46
157,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTY,HU CTY,HU,Fossil Gas,0.0,,2018-01-18 10:49:46
158,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTY,HU CTY,HU,Other,0.0,,2018-01-18 10:49:47
159,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,CTY,HU CTY,HU,Other renewable,0.0,,2018-01-18 10:49:47
160,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,BZN,HU BZN,HU,Other renewable,0.0,,2018-01-18 10:49:48
161,2018-01-18 09:30:00.000,PT15M,10YHU-MAVIR----U,BZN,HU BZN,HU,Fossil Gas,0.0,,2018-01-18 10:49:48
162,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A65H,CTY,DK CTY,DK,Solar,0.0,,2018-01-18 10:49:48
163,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A796,CTA,DK CTA,DK,Solar,0.0,,2018-01-18 10:49:48
164,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A796,CTA,DK CTA,DK,Wind Onshore,0.0,,2018-02-01 22:46:13
165,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A65H,CTY,DK CTY,DK,Wind Offshore,0.0,,2018-02-01 22:46:09
166,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A65H,CTY,DK CTY,DK,Wind Onshore,0.0,,2018-02-01 22:46:13
167,2018-01-18 08:00:00.000,PT60M,10Y1001A1001A796,CTA,DK CTA,DK,Wind Offshore,0.0,,2018-02-01 22:46:09
168,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Biomass,0.0,,2018-12-11 15:18:53
169,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Fossil Coal-derived gas,0.0,,2018-12-11 15:18:54
170,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A83F,CTY,DE CTY,DE,Biomass,0.0,,2021-02-27 10:38:41
171,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A83F,CTY,DE CTY,DE,Fossil Coal-derived gas,0.0,,2021-07-28 07:51:26
172,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Waste,0.0,,2018-12-11 15:18:54
173,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A63L,BZN,DE-AT-LU BZN,DE_AT_LU,Fossil Coal-derived gas,0.0,,2021-07-28 12:08:18
174,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A83F,CTY,DE CTY,DE,Waste,0.0,,2021-11-22 15:08:16
175,2018-01-18 08:45:00.000,PT15M,10YDE-RWENET---I,CTA,DE(Amprion) CTA,DE_Amprion,Other renewable,0.0,,2018-12-11 15:18:54
176,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A63L,BZN,DE-AT-LU BZN,DE_AT_LU,Waste,0.0,0.0,2021-11-22 15:41:47
177,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A83F,CTY,DE CTY,DE,Other renewable,0.0,,2021-02-28 07:16:47
178,2018-01-18 08:45:00.000,PT15M,10Y1001A1001A63L,BZN,DE-AT-LU BZN,DE_AT_LU,Other renewable,0.0,0.0,2019-02-15 22:49:39
179,2018-01-18 09:30:00.000,PT15M,10YDE-ENBW-----N,CTA,DE(TransnetBW) CTA,DE_TransnetBW,Fossil Gas,0.0,0.84,2018-01-18 11:01:27
180,2018-01-18 09:30:00.000,PT15M,10YDE-ENBW-----N,CTA,DE(TransnetBW) CTA,DE_TransnetBW,Biomass,0.0,,2021-02-27 09:52:23
181,2018-01-18 08:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Fossil Gas,0.0,,2018-01-18 11:01:29
182,2018-01-18 08:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Hydro Pumped Storage,0.0,,2018-01-18 11:01:30
183,2018-01-18 08:00:00.000,PT60M,10YFR-RTE------C,CTA,FR CTA,FR,Hydro Water Reservoir,0.0,,2018-01-18 11:01:30
